device_name,attribute,unit,bmad_ele_name,bmad_factor,bmad_attribute,example_value
XCOR:LI26:802,BDES,kG*m,XC26802,-1/(10.0),bl_kick,0
YCOR:LI26:803,BDES,kG*m,YC26803,-1/(10.0),bl_kick,0
XCOR:LI26:900,BDES,kG*m,XC26900,-1/(10.0),bl_kick,0
YCOR:LI26:900,BDES,kG*m,YC26900,-1/(10.0),bl_kick,0
XCOR:LI27:202,BDES,kG*m,XC27202,-1/(10.0),bl_kick,0
YCOR:LI27:203,BDES,kG*m,YC27203,-1/(10.0),bl_kick,0
XCOR:LI27:302,BDES,kG*m,XC27302,-1/(10.0),bl_kick,0
YCOR:LI27:303,BDES,kG*m,YC27303,-1/(10.0),bl_kick,0
XCOR:LI27:402,BDES,kG*m,XC27402,-1/(10.0),bl_kick,0
YCOR:LI27:403,BDES,kG*m,YC27403,-1/(10.0),bl_kick,0
XCOR:LI27:502,BDES,kG*m,XC27502,-1/(10.0),bl_kick,0
YCOR:LI27:503,BDES,kG*m,YC27503,-1/(10.0),bl_kick,0
XCOR:LI27:602,BDES,kG*m,XC27602,-1/(10.0),bl_kick,0
YCOR:LI27:603,BDES,kG*m,YC27603,-1/(10.0),bl_kick,0
XCOR:LI27:702,BDES,kG*m,XC27702,-1/(10.0),bl_kick,0
YCOR:LI27:703,BDES,kG*m,YC27703,-1/(10.0),bl_kick,0
XCOR:LI27:802,BDES,kG*m,XC27802,-1/(10.0),bl_kick,0
YCOR:LI27:803,BDES,kG*m,YC27803,-1/(10.0),bl_kick,0
XCOR:LI27:900,BDES,kG*m,XC27900,-1/(10.0),bl_kick,0
YCOR:LI27:900,BDES,kG*m,YC27900,-1/(10.0),bl_kick,0
XCOR:LI28:202,BDES,kG*m,XC28202,-1/(10.0),bl_kick,0
YCOR:LI28:203,BDES,kG*m,YC28203,-1/(10.0),bl_kick,0
XCOR:LI28:302,BDES,kG*m,XC28302,-1/(10.0),bl_kick,0
YCOR:LI28:303,BDES,kG*m,YC28303,-1/(10.0),bl_kick,0
XCOR:LI28:402,BDES,kG*m,XC28402,-1/(10.0),bl_kick,0
YCOR:LI28:403,BDES,kG*m,YC28403,-1/(10.0),bl_kick,0
XCOR:LI28:502,BDES,kG*m,XC28502,-1/(10.0),bl_kick,0
YCOR:LI28:503,BDES,kG*m,YC28503,-1/(10.0),bl_kick,0
XCOR:LI28:602,BDES,kG*m,XC28602,-1/(10.0),bl_kick,0
YCOR:LI28:603,BDES,kG*m,YC28603,-1/(10.0),bl_kick,0
XCOR:LI28:702,BDES,kG*m,XC28702,-1/(10.0),bl_kick,0
YCOR:LI28:703,BDES,kG*m,YC28703,-1/(10.0),bl_kick,0
XCOR:LI28:802,BDES,kG*m,XC28802,-1/(10.0),bl_kick,0
YCOR:LI28:803,BDES,kG*m,YC28803,-1/(10.0),bl_kick,0
XCOR:LI28:900,BDES,kG*m,XC28900,-1/(10.0),bl_kick,0
YCOR:LI28:900,BDES,kG*m,YC28900,-1/(10.0),bl_kick,0
XCOR:LI29:202,BDES,kG*m,XC29202,-1/(10.0),bl_kick,0
YCOR:LI29:203,BDES,kG*m,YC29203,-1/(10.0),bl_kick,0
XCOR:LI29:302,BDES,kG*m,XC29302,-1/(10.0),bl_kick,0
YCOR:LI29:303,BDES,kG*m,YC29303,-1/(10.0),bl_kick,0
XCOR:LI29:402,BDES,kG*m,XC29402,-1/(10.0),bl_kick,0
YCOR:LI29:403,BDES,kG*m,YC29403,-1/(10.0),bl_kick,0
XCOR:LI29:502,BDES,kG*m,XC29502,-1/(10.0),bl_kick,0
YCOR:LI29:503,BDES,kG*m,YC29503,-1/(10.0),bl_kick,0
XCOR:LI29:602,BDES,kG*m,XC29602,-1/(10.0),bl_kick,0
YCOR:LI29:603,BDES,kG*m,YC29603,-1/(10.0),bl_kick,0
XCOR:LI29:702,BDES,kG*m,XC29702,-1/(10.0),bl_kick,0
YCOR:LI29:703,BDES,kG*m,YC29703,-1/(10.0),bl_kick,0
XCOR:LI29:802,BDES,kG*m,XC29802,-1/(10.0),bl_kick,0
YCOR:LI29:803,BDES,kG*m,YC29803,-1/(10.0),bl_kick,0
XCOR:LI29:900,BDES,kG*m,XC29900,-1/(10.0),bl_kick,0
YCOR:LI29:900,BDES,kG*m,YC29900,-1/(10.0),bl_kick,0
XCOR:LI30:202,BDES,kG*m,XC30202,-1/(10.0),bl_kick,0
YCOR:LI30:203,BDES,kG*m,YC30203,-1/(10.0),bl_kick,0
XCOR:LI30:302,BDES,kG*m,XC30302,-1/(10.0),bl_kick,0
YCOR:LI30:303,BDES,kG*m,YC30303,-1/(10.0),bl_kick,0
XCOR:LI30:402,BDES,kG*m,XC30402,-1/(10.0),bl_kick,0
YCOR:LI30:403,BDES,kG*m,YC30403,-1/(10.0),bl_kick,0
XCOR:LI30:502,BDES,kG*m,XC30502,-1/(10.0),bl_kick,0
YCOR:LI30:503,BDES,kG*m,YC30503,-1/(10.0),bl_kick,0
XCOR:LI30:602,BDES,kG*m,XC30602,-1/(10.0),bl_kick,0
YCOR:LI30:603,BDES,kG*m,YC30603,-1/(10.0),bl_kick,0
XCOR:LI30:702,BDES,kG*m,XC30702,-1/(10.0),bl_kick,0
YCOR:LI30:703,BDES,kG*m,YC30703,-1/(10.0),bl_kick,0
XCOR:LI30:802,BDES,kG*m,XC30802,-1/(10.0),bl_kick,0
YCOR:LI30:803,BDES,kG*m,YC30803,-1/(10.0),bl_kick,0
YCOR:LI30:900,BDES,kG*m,YC30900,-1/(10.0),bl_kick,0
XCOR:LI30:900,BDES,kG*m,XC30900,-1/(10.0),bl_kick,0
YCOR:CLTH:133,BDES,kG*m,YCBSYQ1,-1/(10.0),bl_kick,0
XCOR:CLTH:168,BDES,kG*m,XCBSYQ2,-1/(10.0),bl_kick,0
XCOR:BSYH:452,BDES,kG*m,XCBSYQ3,-1/(10.0),bl_kick,0
YCOR:BSYH:461,BDES,kG*m,YCBSYQ4,-1/(10.0),bl_kick,0
XCOR:BSYH:485,BDES,kG*m,XCAPM2,-1/(10.0),bl_kick,0
YCOR:BSYH:485,BDES,kG*m,YCAPM2,-1/(10.0),bl_kick,0
XCOR:BSYH:642,BDES,kG*m,XCBSYQ5,-1/(10.0),bl_kick,0
YCOR:BSYH:739,BDES,kG*m,YCBSYQ6,-1/(10.0),bl_kick,0
XCOR:BSYH:900,BDES,kG*m,XCA0,-1/(10.0),bl_kick,0
YCOR:BSYH:901,BDES,kG*m,YCA0,-1/(10.0),bl_kick,0
YCOR:LTUH:105,BDES,kG*m,YCVM1,-1/(10.0),bl_kick,0
XCOR:LTUH:115,BDES,kG*m,XCVM2,-1/(10.0),bl_kick,0
YCOR:LTUH:133,BDES,kG*m,YCVB1,-1/(10.0),bl_kick,0
XCOR:LTUH:144,BDES,kG*m,XCVB2,-1/(10.0),bl_kick,0
YCOR:LTUH:171,BDES,kG*m,YCVB3,-1/(10.0),bl_kick,0
XCOR:LTUH:178,BDES,kG*m,XCVM3,-1/(10.0),bl_kick,0
YCOR:LTUH:185,BDES,kG*m,YCVM4,-1/(10.0),bl_kick,0
XCOR:LTUH:248,BDES,kG*m,XCDL1,-1/(10.0),bl_kick,0
YCOR:LTUH:253,BDES,kG*m,YCDL1,-1/(10.0),bl_kick,0
XCOR:LTUH:288,BDES,kG*m,XCQT12,-1/(10.0),bl_kick,0
YCOR:LTUH:293,BDES,kG*m,YCQT12,-1/(10.0),bl_kick,0
XCOR:LTUH:348,BDES,kG*m,XCDL2,-1/(10.0),bl_kick,0
YCOR:LTUH:353,BDES,kG*m,YCDL2,-1/(10.0),bl_kick,0
YCOR:LTUH:383,BDES,kG*m,YCQT21,-1/(10.0),bl_kick,0
XCOR:LTUH:388,BDES,kG*m,XCQT22,-1/(10.0),bl_kick,0
XCOR:LTUH:448,BDES,kG*m,XCDL3,-1/(10.0),bl_kick,0
YCOR:LTUH:453,BDES,kG*m,YCDL3,-1/(10.0),bl_kick,0
XCOR:LTUH:488,BDES,kG*m,XCQT32,-1/(10.0),bl_kick,0
YCOR:LTUH:493,BDES,kG*m,YCQT32,-1/(10.0),bl_kick,0
XCOR:LTUH:558,BDES,kG*m,XCDL4,-1/(10.0),bl_kick,0
YCOR:LTUH:563,BDES,kG*m,YCDL4,-1/(10.0),bl_kick,0
XCOR:LTUH:588,BDES,kG*m,XCQT42,-1/(10.0),bl_kick,0
YCOR:LTUH:593,BDES,kG*m,YCQT42,-1/(10.0),bl_kick,0
YCOR:LTUH:611,BDES,kG*m,YCEM1,-1/(10.0),bl_kick,0
XCOR:LTUH:642,BDES,kG*m,XCEM2,-1/(10.0),bl_kick,0
YCOR:LTUH:657,BDES,kG*m,YCEM3,-1/(10.0),bl_kick,0
XCOR:LTUH:678,BDES,kG*m,XCEM4,-1/(10.0),bl_kick,0
XCOR:LTUH:718,BDES,kG*m,XCE31,-1/(10.0),bl_kick,0
YCOR:LTUH:727,BDES,kG*m,YCE32,-1/(10.0),bl_kick,0
XCOR:LTUH:738,BDES,kG*m,XCE33,-1/(10.0),bl_kick,0
YCOR:LTUH:747,BDES,kG*m,YCE34,-1/(10.0),bl_kick,0
XCOR:LTUH:758,BDES,kG*m,XCE35,-1/(10.0),bl_kick,0
YCOR:LTUH:767,BDES,kG*m,YCE36,-1/(10.0),bl_kick,0
XCOR:LTUH:818,BDES,kG*m,XCUM1,-1/(10.0),bl_kick,0
YCOR:LTUH:837,BDES,kG*m,YCUM2,-1/(10.0),bl_kick,0
XCOR:LTUH:858,BDES,kG*m,XCUM3,-1/(10.0),bl_kick,0
YCOR:LTUH:877,BDES,kG*m,YCUM4,-1/(10.0),bl_kick,0
YCOR:UNDH:1350,BDES,kG*m,YCHU13,-1/(10.0),bl_kick,0
XCOR:UNDH:1350,BDES,kG*m,XCHU13,-1/(10.0),bl_kick,0
YCOR:UNDH:1380,BDES,kG*m,YCHX13,-1/(10.0),bl_kick,0
XCOR:UNDH:1380,BDES,kG*m,XCHX13,-1/(10.0),bl_kick,0
YCOR:UNDH:1450,BDES,kG*m,YCHU14,-1/(10.0),bl_kick,0
XCOR:UNDH:1450,BDES,kG*m,XCHU14,-1/(10.0),bl_kick,0
YCOR:UNDH:1480,BDES,kG*m,YCHX14,-1/(10.0),bl_kick,0
XCOR:UNDH:1480,BDES,kG*m,XCHX14,-1/(10.0),bl_kick,0
YCOR:UNDH:1550,BDES,kG*m,YCHU15,-1/(10.0),bl_kick,0
XCOR:UNDH:1550,BDES,kG*m,XCHU15,-1/(10.0),bl_kick,0
YCOR:UNDH:1580,BDES,kG*m,YCHX15,-1/(10.0),bl_kick,0
XCOR:UNDH:1580,BDES,kG*m,XCHX15,-1/(10.0),bl_kick,0
YCOR:UNDH:1650,BDES,kG*m,YCHU16,-1/(10.0),bl_kick,0
XCOR:UNDH:1650,BDES,kG*m,XCHU16,-1/(10.0),bl_kick,0
YCOR:UNDH:1680,BDES,kG*m,YCHX16,-1/(10.0),bl_kick,0
XCOR:UNDH:1680,BDES,kG*m,XCHX16,-1/(10.0),bl_kick,0
YCOR:UNDH:1750,BDES,kG*m,YCHU17,-1/(10.0),bl_kick,0
XCOR:UNDH:1750,BDES,kG*m,XCHU17,-1/(10.0),bl_kick,0
YCOR:UNDH:1780,BDES,kG*m,YCHX17,-1/(10.0),bl_kick,0
XCOR:UNDH:1780,BDES,kG*m,XCHX17,-1/(10.0),bl_kick,0
YCOR:UNDH:1850,BDES,kG*m,YCHU18,-1/(10.0),bl_kick,0
XCOR:UNDH:1850,BDES,kG*m,XCHU18,-1/(10.0),bl_kick,0
YCOR:UNDH:1880,BDES,kG*m,YCHX18,-1/(10.0),bl_kick,0
XCOR:UNDH:1880,BDES,kG*m,XCHX18,-1/(10.0),bl_kick,0
YCOR:UNDH:1950,BDES,kG*m,YCHU19,-1/(10.0),bl_kick,0
XCOR:UNDH:1950,BDES,kG*m,XCHU19,-1/(10.0),bl_kick,0
YCOR:UNDH:1980,BDES,kG*m,YCHX19,-1/(10.0),bl_kick,0
XCOR:UNDH:1980,BDES,kG*m,XCHX19,-1/(10.0),bl_kick,0
YCOR:UNDH:2050,BDES,kG*m,YCHU20,-1/(10.0),bl_kick,0
XCOR:UNDH:2050,BDES,kG*m,XCHU20,-1/(10.0),bl_kick,0
YCOR:UNDH:2080,BDES,kG*m,YCHX20,-1/(10.0),bl_kick,0
XCOR:UNDH:2080,BDES,kG*m,XCHX20,-1/(10.0),bl_kick,0
